qty;card_name;set_code;set_label;is_metacard;min_condition;languages;foil;is_signed;is_altered;max_price_eur;product_url
2;Alandra, rêveuse céleste;;toutes éditions;true;EX;en|fr;no;false;any;1,00;https://www.cardmarket.com/fr/Magic/Cards/Alandra-Sky-Dreamer?sellerCountry=12
4;Amer calvaire;;toutes éditions;true;GD;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Bitter-Ordeal?sellerCountry=12
4;Anarchomancien gobelin;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Goblin-Anarchomancer?sellerCountry=12
4;Ancêtre gargaroth;;toutes éditions;true;EX;en|fr;no;false;any;2,60;https://www.cardmarket.com/fr/Magic/Cards/Elder-Gargaroth?sellerCountry=12
1;Aperçu de l'impossible;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Glimpse-the-Impossible?sellerCountry=12
2;Arc de Nyléa;;toutes éditions;true;EX;en|fr;no;false;any;2,20;https://www.cardmarket.com/fr/Magic/Cards/Bow-of-Nylea?sellerCountry=12
2;Argoth, sanctuaire de la nature // Titania, Gaia incarnée;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Argoth-Sanctum-of-Nature-Titania-Gaea-Incarnate?sellerCountry=12
4;Avidité sournoise;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Treacherous-Greed?sellerCountry=12
3;Bosquet gorgé d'eau;;toutes éditions;true;EX;en|fr;no;false;any;1,00;https://www.cardmarket.com/fr/Magic/Cards/Waterlogged-Grove?sellerCountry=12
4;Bête de Quête;;toutes éditions;true;EX;en|fr;no;false;any;4,00;https://www.cardmarket.com/fr/Magic/Cards/Questing-Beast?sellerCountry=12
4;Capitaine de la milice de Hanweir // Chef de culte du Val d'Orient;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Hanweir-Militia-Captain-Westvale-Cult-Leader?sellerCountry=12
4;Champion de la voie;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Champion-of-the-Path?sellerCountry=12
4;Charme de Flestrefleur;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Witherbloom-Charm?sellerCountry=12
4;Chêne de course;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Scurry-Oak?sellerCountry=12
2;Commandement de Titania;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Titanias-Command?sellerCountry=12
4;Communion avec les dieux;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Commune-with-the-Gods?sellerCountry=12
8;Compagnie rassemblée;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Collected-Company?sellerCountry=12
2;Conte-destin de Thraben;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Thraben-Doomsayer?sellerCountry=12
3;Couvécaille indolent;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Basking-Broodscale?sellerCountry=12
4;Double fournaise;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Twinferno?sellerCountry=12
4;Double lancer;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Doublecast?sellerCountry=12
4;Dragon rouge;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Red-Dragon?sellerCountry=12
2;Drana, la dernière chef de sang;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Drana-the-Last-Bloodchief?sellerCountry=12
