scenario;vendeur;carte;set;etat;langue;foil;pxd;quantite;prix_unitaire;ligne_total;fdp_vendeur;total_vendeur
max_3_vendeurs;Boutique-TCG;Ancêtre gargaroth;Commander: Aetherdrift;NM;en;no;2,60;4;2,07;8,28;6,50;98,48
max_3_vendeurs;Boutique-TCG;Aperçu de l'impossible;Horizons du Modern 3;NM;en;no;;1;0,26;0,26;6,50;98,48
max_3_vendeurs;Boutique-TCG;Avidité sournoise;Meurtres au manoir Karlov: Extras;NM;en;no;;4;0,18;0,72;6,50;98,48
max_3_vendeurs;Boutique-TCG;Bosquet gorgé d'eau;Univers infinis: Doctor Who;NM;en;no;1,00;3;0,46;1,38;6,50;98,48
max_3_vendeurs;Boutique-TCG;Charme de Flestrefleur;Les Secrets de Strixhaven;NM;en;no;;4;0,36;1,44;6,50;98,48
max_3_vendeurs;Boutique-TCG;Chêne de course;Horizons du Modern 2;NM;en;no;;2;1,47;2,94;6,50;98,48
max_3_vendeurs;Boutique-TCG;Compagnie rassemblée;Les Dragons de Tarkir;EX;en;no;;4;3,75;15,00;6,50;98,48
max_3_vendeurs;Boutique-TCG;Compagnie rassemblée;Mystery Booster 2;NM;en;no;;4;3,17;12,68;6,50;98,48
max_3_vendeurs;Boutique-TCG;Couvécaille indolent;Horizons du Modern 3;NM;en;no;;3;0,26;0,78;6,50;98,48
max_3_vendeurs;Boutique-TCG;Double fournaise;Jumpstart Fondations;NM;en;no;;4;0,26;1,04;6,50;98,48
max_3_vendeurs;Boutique-TCG;Double lancer;Édition de base 2019;NM;en;no;;4;0,36;1,44;6,50;98,48
max_3_vendeurs;Boutique-TCG;Dragon rouge;Forgotten Realms: Aventures dans les Royaumes Oubliés: Extras;NM;en;no;;3;0,46;1,38;6,50;98,48
max_3_vendeurs;Boutique-TCG;Délivrance du druide;Commander 2019;NM;en;no;;3;0,26;0,78;6,50;98,48
max_3_vendeurs;Boutique-TCG;Empereur Mihail;Commander: Dominaria Uni: Extras;NM;en;yes;;2;1,48;2,96;6,50;98,48
max_3_vendeurs;Boutique-TCG;Exhibition de servos;Kaladesh;NM;en;no;;4;0,26;1,04;6,50;98,48
max_3_vendeurs;Boutique-TCG;Ferre-marée de Tishana;Les cavernes oubliées d'Ixalan: Extras;NM;en;no;5,00;2;4,86;9,72;6,50;98,48
max_3_vendeurs;Boutique-TCG;Haldir, lieutenant de la Lórien;Commander: Le Seigneur des Anneaux : chroniques de la Terre du Milieu;NM;en;no;;4;0,36;1,44;6,50;98,48
max_3_vendeurs;Boutique-TCG;Jiang Yanggu, façonneur de la forêt;La guerre des Planeswalkers;NM;en;no;;2;0,26;0,52;6,50;98,48
max_3_vendeurs;Boutique-TCG;Kiora, mandeuse de béhémoth;La guerre des Planeswalkers;NM;en;no;;2;1,47;2,94;6,50;98,48
max_3_vendeurs;Boutique-TCG;Lande fétide;Commander: Tarkir: la tempête des dragons;NM;en;no;;3;0,56;1,68;6,50;98,48
max_3_vendeurs;Boutique-TCG;Lumière de Lèveciel;Lorwyn éclipsé;NM;en;no;3,00;3;2,49;7,47;6,50;98,48
max_3_vendeurs;Boutique-TCG;Mentor des humbles;Jumpstart Fondations;NM;en;no;;4;0,26;1,04;6,50;98,48
max_3_vendeurs;Boutique-TCG;Patricienne des Kalastria;Fondations de Magic: The Gathering: Collection de démarrage;NM;en;no;1,00;4;0,46;1,84;6,50;98,48
max_3_vendeurs;Boutique-TCG;Regard sylvestre;La bataille de Zendikar;NM;en;no;;2;0,36;0,72;6,50;98,48
max_3_vendeurs;Boutique-TCG;Relai zingant;Horizons du Modern 2;NM;en;no;;3;0,18;0,54;6,50;98,48
max_3_vendeurs;Boutique-TCG;Renégat de Narnam;La révolte éthérique;NM;en;no;;2;0,46;0,92;6,50;98,48
max_3_vendeurs;Boutique-TCG;Renégat de Narnam;La révolte éthérique;EX;en;no;;1;0,36;0,36;6,50;98,48
max_3_vendeurs;Boutique-TCG;Sage de l'évolution;La guerre des Planeswalkers;NM;en;no;;1;3,17;3,17;6,50;98,48
max_3_vendeurs;Boutique-TCG;Sinister Gnarlbark;Commander: Lorwyn éclipsé;NM;en;no;;4;0,76;3,04;6,50;98,48
max_3_vendeurs;Boutique-TCG;Slinza, la ruée piquante;Jumpstart Fondations;NM;en;no;;2;0,46;0,92;6,50;98,48
